t,app_cpu,mysql_cpu
3,1.00%,0.38%
6,0.06%,1.62%
9,0.07%,0.39%
13,0.10%,138.96%
15,12.57%,85.34%
18,4.09%,5.46%
21,20.43%,74.46%
23,8.41%,114.76%
26,0.43%,99.33%
29,2.06%,7.47%
33,9.24%,6.76%
36,10.56%,0.36%
39,0.14%,0.60%
43,0.07%,49.21%
46,1.10%,61.54%
49,0.06%,0.35%
53,0.08%,103.07%
56,0.06%,0.37%
59,0.06%,0.35%
62,0.07%,0.34%
66,0.06%,0.36%
69,0.07%,0.36%
72,7.16%,1.57%
76,13.34%,105.01%
79,9.15%,36.57%
82,10.60%,105.48%
86,3.05%,51.71%
89,10.15%,27.71%
92,12.15%,12.87%
95,15.05%,15.86%
98,14.28%,37.72%
102,11.92%,15.52%
105,2.22%,52.01%
108,13.61%,35.13%
112,1.90%,46.60%
115,0.07%,0.34%
118,1.10%,0.38%
122,0.06%,1.56%
125,0.07%,0.39%
128,14.55%,0.35%
131,26.77%,346.59%
134,12.80%,391.87%
137,11.43%,210.40%
141,7.82%,365.72%
144,14.90%,127.09%
148,13.03%,399.98%
151,17.38%,118.81%
155,14.85%,195.05%
158,18.50%,330.00%
162,16.94%,398.03%
165,22.20%,132.08%
168,15.99%,114.48%
172,14.41%,192.93%
175,21.79%,19.21%
178,0.06%,0.38%
182,0.07%,0.35%
185,0.07%,0.36%
188,15.37%,0.37%
192,28.53%,393.87%
195,21.16%,414.52%
198,33.74%,397.64%
202,37.44%,400.80%
205,31.17%,390.69%
208,40.45%,393.96%
211,23.40%,394.41%
214,36.01%,407.89%
218,24.06%,395.38%
221,37.11%,393.27%
225,26.96%,390.64%
228,46.81%,389.12%
231,23.68%,402.13%
235,17.27%,396.18%
238,0.06%,0.32%
242,0.06%,0.32%
245,0.08%,0.33%
248,17.37%,0.37%
252,30.29%,387.42%
254,21.11%,390.63%
258,31.26%,397.56%
260,20.38%,397.56%
264,49.80%,405.64%
267,26.67%,403.69%
270,38.71%,406.74%
274,43.06%,394.89%
277,48.02%,390.07%
280,21.63%,391.60%
284,35.54%,392.40%
287,32.48%,396.30%
290,22.87%,391.97%
294,33.45%,396.20%
297,24.55%,395.02%
300,20.19%,0.39%
