t,cpu_pct,mem
2,0.07%,212.1MiB / 1GiB
5,0.06%,212.1MiB / 1GiB
8,0.07%,212.2MiB / 1GiB
11,0.08%,212.1MiB / 1GiB
14,72.38%,234.1MiB / 1GiB
18,111.65%,263.3MiB / 1GiB
21,2.12%,259.8MiB / 1GiB
24,11.23%,268.7MiB / 1GiB
28,44.89%,265.9MiB / 1GiB
31,5.50%,262.2MiB / 1GiB
34,15.09%,266.2MiB / 1GiB
38,51.61%,272.5MiB / 1GiB
41,2.01%,266.3MiB / 1GiB
44,11.65%,266.6MiB / 1GiB
48,55.58%,268.1MiB / 1GiB
51,1.74%,268.3MiB / 1GiB
54,1.91%,268.4MiB / 1GiB
58,8.10%,268.7MiB / 1GiB
61,0.07%,268.6MiB / 1GiB
64,0.06%,268.7MiB / 1GiB
68,1.08%,268.6MiB / 1GiB
71,0.08%,268.6MiB / 1GiB
74,10.43%,269.4MiB / 1GiB
78,27.02%,269.5MiB / 1GiB
81,6.07%,269.6MiB / 1GiB
84,7.88%,270.1MiB / 1GiB
88,31.96%,272.5MiB / 1GiB
91,27.53%,272.6MiB / 1GiB
94,4.07%,272.9MiB / 1GiB
98,40.42%,273.1MiB / 1GiB
101,4.62%,273.2MiB / 1GiB
104,5.85%,275.3MiB / 1GiB
108,17.54%,275.4MiB / 1GiB
111,4.68%,275.4MiB / 1GiB
114,3.29%,275.4MiB / 1GiB
118,15.53%,275.5MiB / 1GiB
121,0.07%,275.5MiB / 1GiB
124,0.07%,275.5MiB / 1GiB
128,0.99%,275.6MiB / 1GiB
131,0.07%,275.5MiB / 1GiB
134,4.71%,276.8MiB / 1GiB
138,29.47%,292.9MiB / 1GiB
141,26.36%,303.1MiB / 1GiB
145,11.96%,317.2MiB / 1GiB
148,20.35%,317.6MiB / 1GiB
151,18.25%,317.6MiB / 1GiB
154,19.66%,317.7MiB / 1GiB
158,14.37%,317.7MiB / 1GiB
161,23.29%,317.7MiB / 1GiB
164,24.80%,317.7MiB / 1GiB
168,14.83%,317.7MiB / 1GiB
171,20.48%,317.7MiB / 1GiB
174,16.68%,317.7MiB / 1GiB
178,13.56%,317.7MiB / 1GiB
181,0.07%,317.8MiB / 1GiB
184,1.08%,317.7MiB / 1GiB
188,0.06%,317.7MiB / 1GiB
191,0.07%,317.7MiB / 1GiB
194,9.53%,320.1MiB / 1GiB
198,41.37%,343.3MiB / 1GiB
201,62.48%,353.3MiB / 1GiB
205,40.02%,367.9MiB / 1GiB
208,48.84%,368.2MiB / 1GiB
211,47.51%,381.4MiB / 1GiB
215,46.41%,381.6MiB / 1GiB
218,48.23%,381.9MiB / 1GiB
222,48.71%,382MiB / 1GiB
225,39.96%,381.9MiB / 1GiB
228,27.29%,433.6MiB / 1GiB
231,31.38%,446.6MiB / 1GiB
235,30.71%,447.6MiB / 1GiB
238,21.04%,449.3MiB / 1GiB
241,0.07%,447.6MiB / 1GiB
245,1.03%,447.7MiB / 1GiB
248,0.07%,447.6MiB / 1GiB
251,0.09%,447.6MiB / 1GiB
255,16.92%,450.4MiB / 1GiB
258,23.42%,450.5MiB / 1GiB
261,29.02%,457.2MiB / 1GiB
265,43.31%,455.8MiB / 1GiB
268,27.29%,452.6MiB / 1GiB
271,25.35%,451MiB / 1GiB
275,45.45%,451MiB / 1GiB
278,35.97%,451MiB / 1GiB
281,46.35%,451.1MiB / 1GiB
285,30.55%,452.8MiB / 1GiB
288,38.33%,451.1MiB / 1GiB
292,41.26%,494.8MiB / 1GiB
295,35.31%,493.1MiB / 1GiB
298,35.99%,493.8MiB / 1GiB
302,30.33%,495.5MiB / 1GiB
305,45.58%,488.5MiB / 1GiB
308,0.13%,488.5MiB / 1GiB
312,0.12%,488.5MiB / 1GiB
