t,app_cpu,mysql_cpu
3,1.77%,0.40%
6,0.06%,1.60%
9,62.05%,0.50%
13,0.11%,0.42%
16,20.81%,1.92%
19,59.10%,0.38%
23,54.73%,0.40%
26,15.19%,1.55%
28,0.07%,0.39%
31,0.11%,2.14%
34,25.80%,0.38%
37,12.82%,0.40%
39,43.13%,0.37%
43,26.21%,0.36%
46,7.85%,1.65%
49,0.06%,0.35%
53,0.06%,0.38%
56,1.93%,1.54%
59,0.06%,0.35%
63,0.06%,0.36%
66,0.07%,1.63%
69,25.79%,0.32%
73,0.09%,1.62%
76,0.09%,0.38%
79,0.06%,0.36%
83,14.09%,0.33%
85,13.16%,0.37%
88,5.81%,0.33%
91,12.42%,0.32%
95,0.07%,0.37%
98,8.80%,0.45%
101,0.07%,2.32%
104,0.06%,0.32%
107,8.86%,0.38%
111,0.06%,0.36%
114,5.14%,0.32%
117,2.47%,0.34%
120,0.06%,0.33%
124,1.25%,0.32%
127,0.06%,1.56%
129,21.24%,0.33%
132,22.25%,0.33%
136,0.06%,0.32%
139,0.05%,0.32%
142,10.31%,1.53%
144,0.06%,0.31%
147,14.00%,0.35%
151,0.06%,0.32%
154,1.81%,0.31%
157,5.48%,1.43%
160,10.69%,0.39%
164,11.27%,0.33%
167,0.05%,1.59%
170,10.67%,0.31%
173,1.24%,0.37%
177,0.06%,1.53%
180,0.06%,0.31%
183,0.06%,1.60%
187,0.07%,1.59%
190,28.74%,0.32%
193,29.89%,1.60%
197,0.06%,0.34%
200,30.14%,0.33%
202,1.23%,1.44%
205,0.07%,0.38%
209,0.06%,0.31%
211,1.12%,0.34%
214,27.98%,0.36%
217,20.56%,1.54%
221,0.07%,0.34%
224,3.25%,0.35%
227,0.77%,1.56%
230,9.04%,0.33%
233,1.13%,0.35%
237,0.06%,1.49%
240,0.06%,0.34%
243,0.06%,1.40%
247,0.05%,1.44%
250,26.52%,0.36%
253,20.15%,0.36%
257,0.09%,2.08%
259,6.80%,0.46%
262,19.61%,0.35%
266,0.06%,0.38%
269,21.80%,0.49%
272,143.44%,0.39%
275,63.34%,0.44%
278,70.65%,0.37%
282,68.84%,0.51%
285,8.83%,0.42%
288,72.91%,0.39%
290,26.74%,0.40%
294,80.28%,1.74%
297,40.18%,0.39%
300,0.09%,0.36%
303,1.30%,1.88%
307,0.06%,0.32%
