t,app_cpu,mysql_cpu
3,0.10%,0.48%
6,0.08%,0.58%
9,0.06%,0.40%
12,0.07%,0.40%
16,0.08%,0.41%
19,59.44%,2.29%
22,39.01%,164.57%
25,22.23%,0.47%
28,72.65%,44.64%
32,47.88%,33.72%
35,51.25%,0.62%
38,35.93%,28.60%
41,86.84%,10.63%
45,4.89%,42.62%
48,6.12%,3.35%
51,2.16%,31.01%
54,12.16%,35.51%
58,0.08%,0.40%
61,33.00%,0.40%
63,13.37%,25.61%
67,1.26%,0.38%
70,1.16%,1.67%
73,0.07%,0.38%
77,1.34%,0.34%
80,25.78%,0.40%
83,0.07%,255.07%
87,27.58%,46.91%
90,1.02%,127.84%
93,0.69%,148.85%
97,31.99%,104.84%
100,75.25%,0.42%
103,33.34%,0.36%
107,24.26%,46.48%
110,1.07%,49.16%
113,32.22%,0.43%
117,15.44%,58.60%
120,16.92%,0.41%
123,0.27%,57.30%
126,0.99%,0.41%
129,0.07%,1.92%
132,0.07%,0.39%
135,0.07%,0.42%
138,19.15%,0.44%
142,21.24%,426.52%
145,35.90%,0.38%
148,14.11%,146.24%
151,10.06%,414.19%
154,61.77%,435.52%
157,10.64%,26.75%
160,6.67%,192.44%
164,44.14%,5.02%
167,14.07%,109.67%
169,25.94%,258.08%
173,24.62%,14.95%
176,3.43%,91.84%
179,28.58%,169.45%
183,3.74%,99.59%
186,1.16%,88.09%
189,0.06%,0.34%
192,0.06%,0.34%
195,0.06%,0.41%
199,35.07%,0.36%
201,58.92%,563.43%
204,19.73%,703.70%
207,42.48%,453.92%
211,47.17%,36.78%
213,19.77%,28.31%
216,48.63%,346.45%
220,43.68%,321.95%
223,26.97%,381.45%
226,34.02%,388.41%
230,37.62%,178.33%
232,42.21%,322.46%
236,42.45%,348.04%
239,43.70%,313.97%
242,42.06%,224.23%
245,19.30%,342.78%
248,0.06%,0.35%
252,0.05%,0.35%
255,0.06%,1.57%
258,0.08%,0.39%
261,5.58%,743.85%
265,80.81%,632.51%
268,74.18%,712.41%
271,57.45%,698.81%
274,70.15%,793.68%
277,80.51%,790.27%
281,66.29%,818.53%
284,61.64%,771.95%
287,62.55%,808.57%
291,83.16%,789.59%
294,47.52%,763.47%
297,56.21%,798.08%
301,96.19%,799.94%
304,67.75%,771.08%
307,0.06%,0.41%
311,1.02%,0.37%
314,0.07%,0.37%
317,0.07%,0.39%
320,48.55%,0.41%
323,76.23%,757.90%
326,70.17%,741.66%
329,89.46%,786.70%
333,89.68%,770.14%
336,59.81%,762.90%
339,67.84%,726.99%
343,82.71%,787.54%
346,98.86%,742.64%
349,87.25%,794.47%
352,81.01%,787.62%
356,68.49%,813.24%
359,64.26%,751.57%
362,61.44%,792.01%
366,43.24%,761.15%
369,32.33%,597.35%
372,0.06%,1.87%
374,0.07%,0.40%
377,0.09%,0.47%
381,0.06%,0.35%
384,1.16%,0.35%
