"t","threads"
"0","20"
"4","21"
"6","21"
"9","21"
"11","21"
"13","21"
"15","21"
"17","21"
"19","21"
"21","21"
"23","21"
"25","21"
"27","21"
"30","21"
"32","21"
"34","21"
"36","21"
"38","21"
"40","21"
"42","21"
"44","21"
"46","21"
"48","21"
"50","21"
"53","21"
"55","21"
"57","21"
"59","21"
"61","21"
"63","21"
"65","21"
"67","21"
"69","21"
"71","21"
"73","21"
"75","21"
"77","21"
"79","21"
"81","21"
"84","21"
"86","21"
"88","21"
"90","21"
"92","21"
"94","21"
"96","21"
"98","21"
"100","21"
"102","21"
"105","21"
"107","21"
"109","21"
"111","21"
"114","21"
"116","21"
"118","21"
"120","21"
"122","21"
"124","21"
"126","22"
"128","22"
"130","22"
"132","22"
"134","22"
"136","22"
"138","22"
"140","22"
"142","22"
"144","22"
"146","22"
"148","22"
"150","22"
"152","22"
"154","22"
"156","22"
"158","22"
"160","22"
"162","22"
"164","22"
"166","22"
"168","22"
"170","22"
"172","22"
"174","22"
"176","22"
"178","22"
"180","22"
"182","22"
"184","22"
"186","22"
"188","22"
"190","22"
"192","22"
"194","22"
"196","22"
"198","22"
"201","22"
"203","22"
"205","22"
"207","22"
"209","22"
"211","22"
"213","22"
"215","22"
"217","22"
"219","22"
"221","22"
