"t","threads"
"0","24"
"2","36"
"4","36"
"7","36"
"9","35"
"11","35"
"13","35"
"15","35"
"17","35"
"19","35"
"21","35"
"23","35"
"25","35"
"27","62"
"29","63"
"31","63"
"33","63"
"35","63"
"37","63"
"39","65"
"41","65"
"43","65"
"45","65"
"47","65"
"49","65"
"52","65"
"54","65"
"56","65"
"58","65"
"60","65"
"62","65"
"64","65"
"66","65"
"68","65"
"70","68"
"72","71"
"74","82"
"76","96"
"78","106"
"80","124"
"82","143"
"84","148"
"86","162"
"88","183"
"90","188"
"92","205"
"94","215"
"96","215"
"98","215"
"100","215"
"102","215"
"105","215"
"107","215"
"109","215"
"112","215"
"114","215"
"116","215"
"118","215"
"121","215"
"123","215"
"125","215"
"127","214"
"129","215"
"131","215"
"134","215"
"137","214"
"142","214"
"189","214"
"191","215"
"193","215"
"196","215"
"199","215"
"202","215"
"205","215"
"208","215"
"211","215"
"214","215"
"217","215"
"219","215"
"221","215"
